plu,nombre,marca,categoria,precio_actual,precio_regular,precio_sin_imp,precio_x_unidad,fecha
482139,Aperitivo Bitter Citric (Amargo Cítrico) SMIRNOFF 700 Ml,Smirnoff,Bebidas Con Alcohol > Bebidas > Aperitivos > Aperitivo Bitter,8775.0,11700.0,9669.42,16714.28,20260219
258356,Vino Malbec Golden Reserve TRIVENTO Bot 750 Ml,Trivento,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,13930.7,20895.0,17268.6,27860.0,20260219
283947,Vino Chardonnay ELEGIDO Bot 750 Ml,Elegido,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,3429.5,5144.0,4251.24,6858.66,20260219
1795,Colección Privada Chardonnay 750 CC,Colección Privada,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,6518.33,9777.0,8080.17,13036.0,20260219
169410,Vino Cab.Sauv . Omnium Bot 750 Cmq,Omnium,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3934.2,5901.0,4876.86,7868.0,20260219
283946,Vino Cabernet Sauvignon ELEGIDO Bot 750 Ml,Elegido,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3429.5,5144.0,4251.24,6858.66,20260219
5527,Fernet BRANCAMENTA   Botella 750 Cc,Brancamenta,Fernet > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > Aperitivos > APERITIVOS,12000.0,16000.0,13223.14,21333.33,20260219
125438,Trivento Brut Nature 750 Ml ,Trivento,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,9590.48,14385.0,11888.43,19180.0,20260219
164946,Vino Malbec Roble SALENTEIN 750cc,Salentein,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,11400.57,17100.0,14132.23,22800.0,20260219
140206,Vino Cabernet  Sauvignon Sophenia 750cc,Finca Sophenia,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,13334.0,20000.0,16528.93,26666.66,20260219
160046,Vino Malbec TRIVENTO Roble Bot 750 CC,Trivento,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,6160.31,9240.0,7636.36,12320.0,20260219
479923,Sidra 1930 Extra Dul SACCANI Bot 750 Cmq,Saccani,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,5778.0,7704.0,6366.94,10272.0,20260219
31752,Vino Blanco Traful 750c,Traful,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,2433.46,3650.0,3016.53,4866.66,20260219
265032,Vino Torrontes LOPEZ Dulce Natural 750ml,Lopez,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,4833.58,7250.0,5991.74,9666.66,20260219
466631,Vodka Sabor Sandia SMIRNOFF 750ml,Smirnoff,Vodka > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,8775.0,11700.0,9669.42,15600.0,20260219
3940,Vino F.Blanc . Selec.Lop Bot 750 Cmq,Lopez,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,3366.84,5050.0,4173.55,6733.33,20260219
283945,Vino Malbec ELEGIDO Bot 750 Ml,Elegido,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3429.5,5144.0,4251.24,6858.66,20260219
120203,Sidra Et.Blanca Victoria Bot 720 Cmq,La Victoria,Sin Tacc > Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,2924.25,3899.0,3222.31,5415.27,20260219
54136,Vino Noir LAGARDE Bot 750 CC,Lagarde,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,9333.8,14000.0,11570.25,18666.66,20260219
31753,Vino Tinto - TRAFUL Bot 750 Cmq,Traful,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,2433.46,3650.0,3016.53,4866.66,20260219
209630,Vodka Raspberry (Frambuesa) SMIRNOFF 700 Ml,Smirnoff,Vodka > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,8775.0,11700.0,9669.42,16714.28,20260219
3941,Vino Tinto RINCON FAMOSO Bot 750 CC,Rincon Famoso,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,5300.27,7950.0,6570.25,10600.0,20260219
169463,Vino Malbec OMNIUM 750cc,Omnium,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3934.2,5901.0,4876.86,7868.0,20260219
59002,Vino Cab.Sauv . Intimo Bot 750 Cmq,Intimo,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,8424.42,12636.0,10442.98,16848.0,20260219
241178,Vino Malbec Serie A ZUCCARDI 375cc,Zuccardi,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,5804.96,8707.0,7195.87,23218.66,20260219
3938,Vino Blanco VASCO VIEJO Bot 700 CC,Vasco Viejo,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,2266.78,3400.0,2809.92,4857.14,20260219
460801,Vino ALFREDO COTO Chardonnay 750 Ml,Alfredo Coto,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,5060.25,7590.0,6272.73,10120.0,20260219
469719,Americano DR. LEMON Con Vodka Lata 473 Cc,Dr. Lemon,Bebidas Con Alcohol > Bebidas > Aperitivos > Americano Combinado,1686.08,2529.0,2090.08,5346.72,20260219
291165,Vino Merlot Reserva Sophenia Bot 750 Ml,Sophenia,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,13334.0,20000.0,16528.93,26666.66,20260219
464660,Vodka Raspberry SKYY Bot 750 Ml,Skyy,Vodka > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,8849.25,11799.0,9751.24,15732.0,20260219
54081,Fernet BRANCAMENTA   Botella 450 Cc,Brancamenta,Fernet > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > Aperitivos > APERITIVOS,7985.25,10647.0,8799.17,23660.0,20260219
469193,Vino Semillon . INTIMO Bot 750 Ml,Intimo,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,8424.42,12636.0,10442.98,16848.0,20260219
3943,Vino Tinto CHATEU VIEUX Bot 750 CC,Chateu Vieux,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,9600.48,14400.0,11900.83,19200.0,20260219
3939,Vino Tinto Lopez Selección 750 CC,Selec.Lopez,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3366.84,5050.0,4173.55,6733.33,20260219
57946,Vino Cab.Sau Merlot MARCUS Bot 750 Cmq,Marcus,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,4870.24,7305.0,6037.19,9740.0,20260219
256954,SUTER  Extra Brut 750 Ml  ,Suter,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4595.56,6893.0,5696.69,9190.66,20260219
212544,Vodka Green Apple (Manzana Verde) SMIRNOFF 700 Ml,Smirnoff,Vodka > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,8775.0,11700.0,9669.42,16714.28,20260219
469615,Americano DR. LEMON Con Limón Lata 473 Cc,Dr. Lemon,Bebidas Con Alcohol > Bebidas > Aperitivos > Americano Combinado,1686.08,2529.0,2090.08,5346.72,20260219
288063,Vino Malbec ARISTIDES 750 Ml,Aristides,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,7500.38,11250.0,9297.52,15000.0,20260219
481480,Sidra COSECHA PRIVADA 750 CC,Cosecha Privada,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4762.5,6350.0,5247.93,8466.66,20260219
479917,Sidra 1930 Cosecha E SACCANI Bot 720 Cmq,Saccani,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,5778.0,7704.0,6366.94,10700.0,20260219
248889,Vino Malbec PRIMERAS VIÑAS 750 CC,Primeras Viñas,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,46202.31,69300.0,57272.73,92400.0,20260219
165168,Vino Bco Tardio Santa Julia Bot 500 Cmq,Santa Isabel,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,5245.6,7868.0,6502.48,15736.0,20260219
186680,Vino Pinot Noir Humberto Canale Bot 750 CC,Estate Humberto Canale,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,16831.51,25246.0,20864.46,33661.33,20260219
205599,HAVANA CLUB Añejo Especial Ron Dorado Botella De 750 Ml,Havana Club,Ron > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,14725.5,19634.0,16226.45,26178.66,20260219
203962,Fernet 1882   Botella 750 Cc,1882,Fernet > Bebidas Con Alcohol > Bebidas > Aperitivos,7350.0,9800.0,8099.17,13066.66,20260219
181879,Vino Malbec INTIMO Bot 750 CC,Intimo,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,8424.42,12636.0,10442.98,16848.0,20260219
79059,Sidra C/Fresa Victoria Bot 720 Cmq,La Victoria,Sin Tacc > Sidras Y Bebidas Fizz > Sidras > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,3105.0,4140.0,3421.49,5750.0,20260219
214713,Vodka . Skyy Bot 750 Cmq,Skyy,Vodka > Bebidas Con Alcohol > Bebidas Blancas Y Destiladas > Bebidas,7949.25,10599.0,8759.5,14132.0,20260219
